Volume,Analyte,Signal
-0.079385444521904,DARPin,-0.00109842235565414
-0.079385444521904,target,0.00283049925281924
-0.079385444521904,complex,-1.7080920736221e-4
-0.0710521921192737,DARPin,-8.2198407556137e-4
-0.0710521921192737,target,NA
-0.0710521921192737,complex,NA
-0.0710521516416451,DARPin,NA
-0.0710521516416451,target,0.00172331414996944
-0.0710521516416451,complex,-1.7042337484835e-4
-0.0627189397166435,DARPin,-5.455457954686e-4
-0.0627189397166435,target,NA
-0.0627189397166435,complex,NA
-0.0627188587613862,DARPin,NA
-0.0627188587613862,target,0.00172269319114298
-0.0627188587613862,complex,-1.7003754233444e-4
-0.054385687314013297,DARPin,7.50492221005133e-6
-0.054385687314013297,target,NA
-0.054385687314013297,complex,NA
-0.0543855658811273,DARPin,NA
-0.0543855658811273,target,0.00199872669762925
-0.0543855658811273,complex,-3.13358920750686e-5
-0.046052434911383,DARPin,5.6058788199723e-4
-0.046052434911383,target,NA
-0.046052434911383,complex,NA
-0.0460522730008684,DARPin,NA
-0.0460522730008684,target,0.00213643028559779
-0.0460522730008684,complex,-1.0010796843392e-4
-0.0377191825087528,DARPin,5.60377452132e-4
-0.0377191825087528,target,NA
-0.0377191825087528,complex,NA
-0.0377189801206095,DARPin,NA
-0.0377189801206095,target,0.00227413387356634
-0.0377189801206095,complex,-1.6888004479283e-4
-0.0293859301061225,DARPin,2.8352032744061e-4
-0.0293859301061225,target,NA
-0.0293859301061225,complex,NA
-0.0293856872403506,DARPin,NA
-0.0293856872403506,target,0.00227351828646265
-0.0293856872403506,complex,-1.6852644261548e-4
-0.0210526777034923,DARPin,6.6632027491751e-6
-0.0210526777034923,target,NA
-0.0210526777034923,complex,NA
-0.0210523943600917,DARPin,NA
-0.0210523943600917,target,0.00171963405665408
-0.0210523943600917,complex,9.3839130358524e-4
-0.012719425300862,DARPin,5.5963331515663e-4
-0.012719425300862,target,NA
-0.012719425300862,complex,NA
-0.0127191014798328,DARPin,NA
-0.0127191014798328,target,0.00116573371167736
-0.0127191014798328,complex,9.388093664356e-4
-0.00438617289823177,DARPin,0.0011127700117913
-0.00438617289823177,target,NA
-0.00438617289823177,complex,NA
-0.0043858085995739,DARPin,NA
-0.0043858085995739,target,0.00171835990866468
-0.0043858085995739,complex,9.3918982722674e-4
0.00394707950439847,DARPin,0.00138919485767215
0.00394707950439847,target,NA
0.00394707950439847,complex,NA
0.003947484280685,DARPin,NA
0.003947484280685,target,0.00171775707940255
0.003947484280685,complex,-0.00127347205246475
0.0122803319070287,DARPin,0.0012507171682283999
0.0122803319070287,target,NA
0.0122803319070287,complex,NA
0.0122807771609439,DARPin,NA
0.0122807771609439,target,0.0017171471997542
0.0122807771609439,complex,3.8657467164904e-4
